상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Mushroom Pocket Tie Half Shirts Black,공통,110.0,69.0,41.0,8654047.151190475,4398750.0,4255297.151190476,78673.1559199134,108.0,68.0,40.0,2025-09-10,25 FW 01
Blue Hour Stripe Lace Tie Shirt Blue,공통,108.0,96.0,12.0,7411831.770833334,6310300.0,1101531.7708333335,68628.0719521605,107.0,95.0,12.0,2025-04-15,25 SS 01
Dot Denim Hoodie Jacket Deep Blue,공통,108.0,106.0,2.0,15332165.3,15086370.0,245795.3,141964.49351851852,108.0,106.0,2.0,2025-04-12,25 SS 01
Eco Fur Pillow Bag Brown,공통,107.0,69.0,38.0,17781316.625,10383500.0,7397816.625,166180.52920560748,107.0,69.0,38.0,2025-09-09,25 FW 가방 1차
Hockey Jersey Navy,공통,107.0,97.0,10.0,14809666.895833334,13525330.0,1284336.8958333335,138408.10183021807,107.0,97.0,10.0,2025-01-02,24 08 FW
Sheer Dot Hand Warmer Beige,공통,101.0,84.0,17.0,2368053.675,1096010.0,1272043.6749999998,23446.07599009901,96.0,79.0,17.0,2025-05-18,25 SS 02
Pom Pom Knit Half Top Beige,공통,100.0,81.0,19.0,8715041.395833332,6334200.0,2380841.395833333,87150.41395833332,100.0,81.0,19.0,2025-09-10,25 FW 01
Mushroom Pocket Tie Half Shirts Beige,공통,99.0,62.0,37.0,8108590.166666667,3742500.0,4366090.166666667,81904.95117845119,99.0,62.0,37.0,2025-09-12,25 FW 01
Endot Blazer Jacket Navy,공통,99.0,92.0,7.0,11139444.8375,10337630.0,801814.8374999999,112519.64482323233,99.0,92.0,7.0,2025-04-10,25 SS 01
Eco Fur Dumpling Bag Brown,공통,98.0,59.0,39.0,13856952.458333332,7014800.0,6842152.458333333,141397.47406462583,98.0,59.0,39.0,2025-09-08,25 FW 가방 1차
Stripe Polo Hockey Jersey Blue,공통,97.0,96.0,1.0,9346003.5,9244895.0,101108.5,96350.55154639175,96.0,95.0,1.0,2025-04-10,25 SS 01
Buttons Collar Dress White,공통,97.0,90.0,7.0,9013668.333333334,8266145.0,747523.3333333333,92924.41580756014,97.0,90.0,7.0,2025-05-17,25 SS 02
Dot Cozy Bao Bag Brown,공통,96.0,66.0,30.0,9138912.833333334,4900500.0,4238412.833333334,95197.00868055556,96.0,66.0,30.0,2025-09-10,25 FW 가방 1차
Eco Fur Dimsum Bag Brown,공통,96.0,55.0,41.0,15191897.083333332,7128000.0,8063897.083333333,158248.92795138888,96.0,55.0,41.0,2025-09-08,25 FW 가방 1차
[Setup] Ribbon Layerd Tee White,공통,93.0,82.0,11.0,5111296.602777778,4389550.0,721746.6027777778,54960.178524492236,89.0,78.0,11.0,2025-05-17,25 SS 02
